"d_x","d_y","ts_x","ts_y","f_x","f_y","cs_x","cs_y"
1538,760.65564,1538,3300,1538,1412.02002,1538,3200,
1539,762.170776,1539,3300,1539,1412.434448,1539,3200,
1540,765.345337,1540,3300,1540,1413.143921,1540,3200,
1541,766.564819,1541,3300,1541,1412.552856,1541,3219.512207,
1542,768.54187,1542,3300,1542,1412.508667,1542,3250,
1543,769.761353,1543,3300,1543,1413.037476,1543,3219.512207,
1544,770.980835,1544,3300,1544,1412.258423,1544,3300,
1545,771.738403,1545,3300,1545,1413.299927,1545,3250,
1546,772.676331,1546,3300,1546,1412.092285,1546,3300,
1547,773.433899,1547,3300,1547,1412.389648,1547,3250,
1548,773.65033,1548,3300,1548,1411.828003,1548,3300,
1549,774.407898,1549,3300,1549,1413.158691,1549,3250,
1550,774.624329,1550,3300,1550,1412.744141,1550,3300,
1551,774.624329,1551,3300,1551,1412.38501,1551,3300,
1552,775.562256,1552,3300,1552,1412.110962,1552,3300,
1553,776.319824,1553,3300,1553,1413.729858,1553,3250,
1554,777.257751,1554,3300,1554,1413.729858,1554,3300,
1555,778.01532,1555,3300,1555,1414.606934,1555,3250,
1556,778.953247,1556,3300,1556,1414.685181,1556,3300,
1557,778.953247,1557,3300,1557,1414.680298,1557,3300,
1558,779.891174,1558,3300,1558,1413.779297,1558,3300,
1559,779.891174,1559,3300,1559,1413.773193,1559,3300,
1560,780.071533,1560,3300,1560,1412.777954,1560,3350,
1561,780.551941,1561,3300,1561,1412.955322,1561,3268.292725,
1562,779.535706,1562,3300,1562,1411.854736,1562,3350,
1563,779.535706,1563,3300,1563,1411.978516,1563,3300,
1564,778.994568,1564,3300,1564,1410.533813,1564,3350,
1565,779.474976,1565,3300,1565,1411.862671,1565,3268.292725,
1566,778.45874,1566,3300,1566,1410.732788,1566,3350,
1567,778.45874,1567,3300,1567,1411.25708,1567,3300,
1568,779.396667,1568,3300,1568,1410.918945,1568,3300,
1569,778.639099,1569,3300,1569,1410.508423,1569,3350,
1570,779.577026,1570,3300,1570,1410.097412,1570,3300,
1571,779.577026,1571,3300,1571,1410.546265,1571,3300,
1572,780.514954,1572,3300,1572,1411.0802,1572,3300,
1573,780.514954,1573,3300,1573,1411.529175,1573,3300,
1574,780.695313,1574,3300,1574,1410.178833,1574,3350,
1575,781.452881,1575,3300,1575,1410.178833,1575,3250,
1576,780.911743,1576,3300,1576,1408.692139,1576,3350,
1577,780.911743,1577,3300,1577,1408.869629,1577,3300,
1578,780.370605,1578,3300,1578,1408.133423,1578,3350,
1579,780.851013,1579,3300,1579,1408.780396,1579,3268.292725,
1580,779.834778,1580,3300,1580,1407.911011,1580,3350,
1581,779.834778,1581,3400,1581,1408.75415,1581,3300,
1582,782.250732,1582,3400,1582,1407.481445,1582,3350,
1583,783.721313,1583,3400,1583,1408.724731,1583,3300,
1584,786.137268,1584,3400,1584,1408.452026,1584,3350,
1585,786.872559,1585,3400,1585,1409.157471,1585,3350,
1586,789.288513,1586,3400,1586,1408.613647,1586,3350,
1587,790.023804,1587,3400,1587,1409.649292,1587,3350,
1588,792.439758,1588,3400,1588,1410.038696,1588,3350,
1589,793.175049,1589,3400,1589,1410.408691,1589,3350,
1590,794.855713,1590,3400,1590,1411.001465,1590,3400,
1591,795.591003,1591,3400,1591,1411.571655,1591,3350,
1592,796.606384,1592,3400,1592,1412.232788,1592,3350,
1593,796.606384,1593,3400,1593,1411.947388,1593,3400,
1594,797.586792,1594,3400,1594,1411.748657,1594,3400,
1595,797.586792,1595,3400,1595,1412.398804,1595,3400,
1596,797.831909,1596,3400,1596,1412.398804,1596,3450,
1597,798.334045,1597,3400,1597,1413.682983,1597,3365.853516,
1598,797.383545,1598,3400,1598,1412.588745,1598,3450,
1599,796.648254,1599,3400,1599,1412.34375,1599,3450,
1600,796.193054,1600,3400,1600,1410.590942,1600,3450,
1601,796.193054,1601,3400,1601,1411.194824,1601,3400,
1602,797.173462,1602,3400,1602,1411.02124,1602,3400,
1603,796.438171,1603,3400,1603,1410.5896,1603,3450,
1604,797.418579,1604,3400,1604,1410.085327,1604,3400,
1605,796.683289,1605,3400,1605,1409.327148,1605,3450,
1606,797.663696,1606,3400,1606,1409.430908,1606,3400,
1607,797.663696,1607,3400,1607,1409.318237,1607,3400,
1608,797.943787,1608,3400,1608,1409.164551,1608,3400,
1609,797.943787,1609,3400,1609,1408.794556,1609,3400,
1610,797.488586,1610,3400,1610,1407.47644,1610,3450,
1611,797.990723,1611,3400,1611,1408.340942,1611,3365.853516,
1612,797.040222,1612,3400,1612,1406.767334,1612,3450,
1613,797.040222,1613,3400,1613,1405.944214,1613,3400,
1614,796.585022,1614,3400,1614,1405.10144,1614,3450,
1615,796.585022,1615,3400,1615,1405.012695,1615,3400,
1616,796.164856,1616,3400,1616,1404.886963,1616,3400,
1617,795.429565,1617,3400,1617,1404.886963,1617,3450,
1618,795.709656,1618,3400,1618,1404.067383,1618,3400,
1619,795.709656,1619,3400,1619,1404.76123,1619,3400,
1620,795.254456,1620,3400,1620,1404.639282,1620,3450,
1621,795.989746,1621,3400,1621,1406.322754,1621,3350,
1622,796.269836,1622,3500,1622,1406.329346,1622,3400,
1623,798.41272,1623,3500,1623,1407.30249,1623,3350,
1624,800.861694,1624,3500,1624,1408.534546,1624,3400,
1625,802.290283,1625,3500,1625,1408.965454,1625,3400,
1626,805.419556,1626,3500,1626,1410.579468,1626,3400,
1627,806.13385,1627,3500,1627,1410.477783,1627,3450,
1628,807.834534,1628,3500,1628,1409.692139,1628,3500,
1629,807.834534,1629,3500,1629,1408.881836,1629,3500,
1630,808.174683,1630,3500,1630,1408.100708,1630,3500,
1631,808.174683,1631,3500,1631,1408.201782,1631,3500,
1632,808.480774,1632,3500,1632,1406.042114,1632,3550,
1633,809.195068,1633,3500,1633,1407.104614,1633,3450,
1634,809.50116,1634,3500,1634,1405.703247,1634,3550,
1635,810.215454,1635,3500,1635,1406.894531,1635,3450,
1636,810.521545,1636,3500,1636,1405.620605,1636,3550,
1637,811.23584,1637,3500,1637,1406.097534,1637,3450,
1638,812.256226,1638,3500,1638,1406.097534,1638,3500,
1639,812.97052,1639,3500,1639,1406.766357,1639,3450,
1640,813.310669,1640,3500,1640,1406.626709,1640,3500,
1641,814.024963,1641,3500,1641,1408.267456,1641,3450,
1642,814.373413,1642,3500,1642,1407.946289,1642,3463.414551,
1643,815.087708,1643,3500,1643,1408.750732,1643,3450,
1644,814.747559,1644,3500,1644,1407.632568,1644,3500,
1645,814.033264,1645,3500,1645,1406.279907,1645,3550,
1646,814.381714,1646,3500,1646,1406.262695,1646,3463.414551,
1647,814.381714,1647,3500,1647,1405.356689,1647,3500,
1648,814.041565,1648,3500,1648,1405.208862,1648,3500,
1649,814.041565,1649,3500,1649,1405.744995,1649,3500,
1650,813.667419,1650,3500,1650,1405.429687,1650,3550,
1651,813.667419,1651,3500,1651,1405.904175,1651,3500,
